Predio;I.D. Faena;N° Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N° Autorización SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N° Aplica Periodo.;Nº aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. Término;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentración;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador Técnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;;;;;1/9/2025;;;NUTRI 1075 M;;;;70.092,00;Litros;;;;;;;;;;;EEI;EEI 1;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;33,91;100;61;239;USD 25.934,00
El espejo;;;;;1/9/2025;;;NUTRI 1683 M;;;;30.202,00;Litros;;;;;;;;;;;EEI;EEI 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;21,12;80;41;180;USD 11.779,00
El espejo;;;;FLAME;1/9/2025;;;NUTRI 1075 M;;;;45.805,00;Litros;;;;;;;;;;;EEII;EEII 1;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;22,16;100;61;239;USD 16.948,00
El espejo;;;;SELMA;1/9/2025;;;NUTRI 1683 M;;;;63.378,00;Litros;;;;;;;;;;;EEII;EEII 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;44,32;80;41;180;USD 24.717,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1683 M;;;;39.511,00;Litros;;;;;;;;;;;EEII;EEII 2;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;27,63;80;41;180;USD 15.409,00
El espejo;;;;FIESTA;1/9/2025;;;NUTRI 1684 M;;;;39.483,00;Litros;;;;;;;;;;;EEIII;EEIII 3 A;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;34,91;70;30;140;USD 15.389,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;;;37.312,00;Litros;;;;;;;;;;;EEIII;EEIII 3 B;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;32,99;70;30;140;USD 14.552,00
El espejo;;;;;1/9/2025;;;NUTRI 1684 M;;;;35.231,00;Litros;;;;;;;;;;;EEIII;EEIII 4;;;;;;;;;;;;;;APLICACION;FERTILIZACION;;;;;;;;;;;;;;;;;;presupuestado-pre;31,15;70;30;140;USD 13.740,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
